Moisture,Humidity,Temperature,Motor
70,70,31,"1

"
57,70,31,"1

"
54,70,31,"1

"
0,70,31,"1

"
0,70,31,"1

"
58,70,31,"1

"
7,70,30.9,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,71,30.8,"1

"
0,71,30.8,"1

"
0,71,30.8,"1

"
33,70,30.8,"1

"
1,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.9,"1

"
0,70,30.9,"1

"
0,70,30.9,"1

"
0,70,30.9,"1

"
0,70,30.9,"1

"
0,70,30.9,"1

"
0,70,31,"1

"
0,70,31,"1

"
0,70,31,"1

"
0,70,31,"1

"
0,70,31,"1

"
0,70,31,"1

"
0,69,31,"1

"
0,70,30.9,"1

"
0,70,30.9,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.8,"1

"
0,70,30.9,"1

"
0,70,30.9,"1

"
0,70,30.9,"1

"
0,70,30.9,"1

"
0,70,31,"1

"
0,70,31,"1

"
62,75,30.1,0
0,76,30.2,1
0,69,31.1,"1

"
0,69,31.1,"1

"
0,69,31.1,"1

"
0,69,31.1,"1

"
0,69,31.1,1
0,69,31.1,1
0,69,31.1,1
0,69,31.1,1
0,69,31.1,1
0,69,31.1,1
0,70,31.1,1
0,69,31.1,1
0,70,31.3,1
0,70,31.3,1
0,70,31.3,1
100,69,31.3,0
100,69,31.4,0
100,69,31.4,0
96,69,31.4,0
94,69,31.4,0
100,69,31.4,0
15,69,31.4,1
10,69,31.5,1
100,69,31.5,0
100,69,31.5,0
100,45,30.4,0
0,30,27.2,1
0,29,24.1,1
0,29,21.6,1
0,33,19.8,1
0,42,18.6,1
0,56,18,1
0,67,18.2,1
0,74,19,1
85,80,20.7,0
74,85,22,0
100,85,23,0
77,88,23.8,0
74,90,24.7,0
74,90,25.4,0
73,89,26,0
73,90,26.4,0
72,93,26.8,0
100,94,27,0
100,90,27.3,0
0,95,27.6,1
0,90,27.8,1
0,90,28,1
31,95,28.1,0
30,95,28.3,0
29,90,28.5,1
28,92,28.7,1
28,89,29,1
37,90,29.1,0
36,87,29.3,0
35,85,29.5,0
34,86,29.7,0
32,83,29.8,0
0,82,30,1
98,80,30,0
98,78,30.2,0
98,78,30.2,0
0,76,30.4,1
0,75,30.5,1
0,75,30.5,1
0,75,30.6,1
0,74,30.7,1
0,75,30.7,1
0,74,30.8,1
0,74,30.8,1
0,73,30.8,1
0,74,30.9,1
0,73,30.9,1
0,72,30.9,1
0,72,30.9,1
0,72,30.9,1
0,72,31,1
0,72,31,1
0,73,31,1
0,73,31,1
0,72,31,1
0,72,31,1
0,73,31,1
0,72,31,1
0,71,31,1
0,72,31,1
0,72,31,1
0,71,31,1
0,73,31,1
0,72,31,1
0,72,31,1
0,73,31,1
0,72,31,1
0,72,31.1,1
18,72,31.1,1
16,73,31.1,1
13,72,31.1,1
13,73,31.1,1
9,72,31.1,1
8,72,31.1,1
0,70,30.9,1
0,72,30.9,1
45,71,30.8,0
44,72,30.8,0
44,72,30.8,0
44,71,30.7,0
44,72,30.7,0
0,72,30.7,1
78,72,30.6,0
77,71,30.6,0
76,69,30.5,0
76,63,30,0
75,60,29.3,0
75,62,29,0
75,61,28.7,0
74,62,28.5,0
74,59,28.3,0
72,55,28,0
68,57,27.3,0
69,65,27.4,0
69,69,27.6,0
70,71,27.9,0
71,72,28.1,0
71,73,28.2,0
71,74,28.4,0
71,75,28.6,0
71,75,28.8,0
71,76,28.9,0
71,76,28.9,0
71,76,29,0
70,75,29,0
71,77,29.1,0
50,76,29.2,0
49,77,29.2,0
47,78,29.3,0
46,79,29.3,0
45,80,29.3,0
44,79,29.3,0
43,80,29.3,0
43,80,29.3,0
42,81,29.3,0
49,81,29.3,0
49,80,29.2,0
49,81,29.2,0
49,80,29.2,0
0,69,31.5,1
0,68,31.4,1
6,68,31.2,1
0,69,31.1,1
0,68,31,1
0,69,31,1
0,69,30.9,1
0,69,30.9,1
0,70,30.8,1
0,69,30.8,1
0,69,30.8,1
0,70,30.8,1
0,70,30.8,1
0,70,30.8,1
0,69,30.8,1
0,70,30.7,1
0,70,30.7,1
0,70,30.7,1
0,70,30.7,1
0,69,30.7,1
0,42,29,1
0,34,26.2,1
0,43,23.8,1
0,49,21.9,1
0,52,20.3,1
0,56,19,1
0,61,18,1
0,62,17.2,1
0,66,16.6,1
0,71,16.2,1
0,74,15.9,1
54,77,16.1,0
51,81,19,0
50,85,21.5,0
48,85,23.2,0
48,90,24.5,0
47,86,25.3,0
46,88,26,0
100,89,27,0
96,91,27.2,0
90,91,27.4,0
88,89,27.6,0
